方法大类,实验类型,实验名称,协议,设置,模型,关键参数,最终步骤,旧类mIoU(%),新类mIoU(%),全部mIoU(%),对照基线,相对差值(百分点),可比性说明,验证状态,结论,证据编号
伪标签与阈值,机制判别,15-5 disjoint matched-global固定阈值 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.048828125；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=100.00%,step1,77.8567,41.8591,69.2858,同seed artifact_class,+0.0000,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E067
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.447265625；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.00%,step1,79.7124,42.2965,70.8038,同seed artifact_class,-0.0043,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E068
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed2,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.419921875；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=99.29%,step1,79.6727,42.4060,70.7997,同seed artifact_class,-0.0020,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E069
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed3,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.443359375；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=99.12%,step1,79.6662,40.7480,70.3999,同seed artifact_class,-0.0058,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E070
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.99%,step1,77.8822,42.6233,69.4872,disjoint fixed0.6 seed1,+0.0233,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E071
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed2,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=100.00%,step1,77.9782,42.0257,69.4181,disjoint fixed0.6 seed2,+0.0339,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E072
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=100.00%,step1,77.8566,41.8591,69.2858,disjoint fixed0.6 seed3,+0.0417,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E073
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.005 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.005；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.48%,step1,77.8820,42.6152,69.4852,disjoint fixed0.6 seed1,+0.0212,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E074
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.005 min_conf=0.6 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.005；min_conf=0.6；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.69%,step1,77.8582,42.6021,69.4639,disjoint fixed0.6 seed1,+0.0000,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E075
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.01 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.94%,step1,77.8810,42.6129,69.4838,disjoint fixed0.6 seed1,+0.0199,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E076
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.015 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.015；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.40%,step1,77.8801,42.6105,69.4826,disjoint fixed0.6 seed1,+0.0186,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E077
伪标签与阈值,阈值策略与消融,15-5 disjoint 伪标签关闭 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=off；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1,step1,77.0884,42.8810,68.9438,,,基线,基线,同协议无伪标签对照,E078
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.69%,step1,77.8582,42.6021,69.4639,15-5 disjoint off,+0.5201,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E079
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed2,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=90.31%,step1,77.9620,41.9354,69.3842,15-5 disjoint off,+0.4404,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E080
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=90.92%,step1,77.8167,41.8117,69.2441,15-5 disjoint off,+0.3003,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E081
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.0 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.98%,step1,79.7154,42.2948,70.8057,overlap fixed0.6 seed1,+0.0326,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E082
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.005 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.005；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.44%,step1,79.7185,42.2949,70.8081,overlap fixed0.6 seed1,+0.0350,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E083
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.01 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.94%,step1,79.7185,42.2949,70.8082,overlap fixed0.6 seed1,+0.0350,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E084
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.01 min_conf=0.0 seed2,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=98.98%,step1,79.6752,42.4064,70.8017,overlap fixed0.6 seed2,+0.0409,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E085
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.01 min_conf=0.0 seed3,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=99.10%,step1,79.6734,40.7493,70.4058,overlap fixed0.6 seed3,+0.0426,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E086
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.01 min_conf=0.6 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.6；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=94.91%,step1,79.6761,42.2836,70.7731,overlap fixed0.6 seed1,+0.0000,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E087
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.015 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.015；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.46%,step1,79.7174,42.2939,70.8070,overlap fixed0.6 seed1,+0.0339,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E088
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.03 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.03；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=97.01%,step1,79.7118,42.2902,70.8019,overlap fixed0.6 seed1,+0.0288,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E089
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.05 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.05；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=95.03%,step1,79.7027,42.2821,70.7930,overlap fixed0.6 seed1,+0.0199,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E090
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.05 min_conf=0.6 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.05；min_conf=0.6；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=93.65%,step1,79.6772,42.2768,70.7723,overlap fixed0.6 seed1,-0.0008,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E091
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.07 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.07；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=93.03%,step1,79.6929,42.2756,70.7840,overlap fixed0.6 seed1,+0.0109,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E092
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.1 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.1；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.15%,step1,79.6790,42.2680,70.7716,overlap fixed0.6 seed1,-0.0015,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E093
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.2 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.2；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=80.19%,step1,79.6218,42.2473,70.7231,overlap fixed0.6 seed1,-0.0500,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E094
伪标签与阈值,阈值策略与消融,15-5 overlap batch_class q=0.1 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_class；confidence=0.7；q=0.1；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.00%,step1,79.6758,42.2691,70.7694,15-5 overlap off,+0.4603,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E095
伪标签与阈值,阈值策略与消融,15-5 overlap batch_class q=0.3 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_class；confidence=0.7；q=0.3；min_conf=0.6；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=69.73%,step1,79.5595,42.2512,70.6766,15-5 overlap off,+0.3675,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E096
伪标签与阈值,阈值策略与消融,15-5 overlap batch_class q=0.3 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_class；confidence=0.7；q=0.3；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=70.00%,step1,79.5596,42.2540,70.6773,15-5 overlap off,+0.3682,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E097
伪标签与阈值,阈值策略与消融,15-5 overlap batch_class q=0.5 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_class；confidence=0.7；q=0.5；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=50.00%,step1,79.4257,42.2217,70.5676,15-5 overlap off,+0.2585,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E098
伪标签与阈值,阈值策略与消融,15-5 overlap batch_class q=0.7 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_class；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=30.00%,step1,79.2941,42.1636,70.4535,15-5 overlap off,+0.1444,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E099
伪标签与阈值,阈值策略与消融,15-5 overlap batch_global q=0.1 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_global；confidence=0.7；q=0.1；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.00%,step1,79.6345,42.2601,70.7358,15-5 overlap off,+0.4267,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E100
伪标签与阈值,阈值策略与消融,15-5 overlap batch_global q=0.3 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_global；confidence=0.7；q=0.3；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=70.00%,step1,79.4469,42.2107,70.5811,15-5 overlap off,+0.2720,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E101
伪标签与阈值,阈值策略与消融,15-5 overlap batch_global q=0.5 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_global；confidence=0.7；q=0.5；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=50.00%,step1,79.2672,42.1487,70.4294,15-5 overlap off,+0.1203,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E102
伪标签与阈值,阈值策略与消融,15-5 overlap batch_global q=0.7 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=batch_global；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=30.00%,step1,79.1423,42.1124,70.3257,15-5 overlap off,+0.0166,同step0和seed,已验证无明显优势，已升级路线,在线分位阈值未超过fixed0.6,E103
伪标签与阈值,阈值策略与消融,15-5 overlap 伪标签关闭 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=off；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1,step1,79.1179,42.1209,70.3091,,,基线,基线,同协议无伪标签对照,E104
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.6 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=94.91%,step1,79.6761,42.2836,70.7731,15-5 overlap off,+0.4640,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E105
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.6 seed2,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=94.74%,step1,79.6257,42.3932,70.7608,15-5 overlap off,+0.4517,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E106
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.6 seed3,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=94.78%,step1,79.6225,40.7333,70.3632,15-5 overlap off,+0.0541,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E107
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.7 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.35%,step1,79.6346,42.2703,70.7383,15-5 overlap off,+0.4292,seed1为严格同谱系；seed2/3的off仅作参考,有效但非最优,用于固定阈值敏感性与最优区间判断,E108
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.8 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.8；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=84.70%,step1,79.5830,42.2592,70.6964,15-5 overlap off,+0.3873,seed1为严格同谱系；seed2/3的off仅作参考,有效但非最优,用于固定阈值敏感性与最优区间判断,E109
伪标签与阈值,阈值策略与消融,15-5 overlap 固定阈值0.9 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.9；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=76.18%,step1,79.5024,42.2393,70.6302,15-5 overlap off,+0.3211,seed1为严格同谱系；seed2/3的off仅作参考,有效但非最优,用于固定阈值敏感性与最优区间判断,E110
